,Private_Key,Hybrid,Geom1,Geom2,length,k_Value,Hybrid_Perc,NonHyb_Cell_Count,Hyb_Cell_Count,TotalAtom,DimLow,DimHigh,Volume,Density,Norm_Density,Max_Stress,Norm_Stress,Strain_At_Max_Stress,Strain_At_SSR,Stress_At_SSR,Young_Modulus,Norm_Young_Modulus,Elastic_Strain_Energy,Strain_Energy,Folder,Geom_File,Stress_File,max_stress_geom1,max_stress_geom2,max_young_geom1,max_young_geom2,el_strainEn_geom1,el_strainEn_geom2,strainEn_geom1,strainEn_geom2,density_geom1,density_geom2,norm_stress_geom1,norm_stress_geom2,norm_young_geom1,norm_young_geom2,norm_elEn_geom1,norm_elEn_geom2,norm_Ener_geom1,norm_Ener_geom2,norm_dens_stress_geom1,norm_dens_stress_geom2,norm_dens_young_geom1,norm_dens_young_geom2,norm_dens_elEn_geom1,norm_dens_elEn_geom2,norm_dens_Ener_geom1,norm_dens_Ener_geom2
403,403,True,SchwarzP,SchwarzGGyroid,70,1.0,70,2,1,50024.0,-70.0,70.0,2744000.0,363.59891112353296,0.15808648309718823,1.292985834681145,0.009946044882162653,0.2094999999999998,0.05000000000000001,0.2340220982988159,4.680441965976317,0.004588668594094428,0.13674728760485677,0.23207610245652113,0,0,0,2.8287903277559914,3.531185592622282,12.533619772879918,31.691473684679497,0.17569592245973778,0.19008362317132577,0.2902989736960297,0.40610241631847527,258.2348895409579,337.8466533650435,0.45708083133430333,0.3661619591398947,0.37343098408839526,0.14768773495815588,0.7783179352736178,0.7194059399930735,0.7994382463767392,0.5714718581593503,0.32462753429644026,0.3402281709335808,0.26521781550240897,0.13722760292239813,0.5527762594834698,0.6684532923560301,0.5677763077177512,0.5309967903227404
404,404,True,SchwarzGGyroid,SchwarzP,70,0.0,70,2,1,46481.0,-70.0,70.0,2744000.0,337.8466533650435,0.14688984928914933,3.531185592622282,0.02716296609709448,0.10754999999999992,0.04999999999999992,1.5845736842339724,31.691473684679497,0.03107007223988186,0.19008362317132577,0.40610241631847527,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,1.0,1.2483023425152486,1.0,2.5285172407458134,1.0,1.0818897815621478,1.0,1.3989109611655144,1.0,0.9541465464357856,1.0,1.9326856248621427,1.0,0.8269482188279078,1.0,1.0692650465413478
405,405,True,SchwarzGGyroid,SchwarzP,70,0.1,70,2,1,41708.0,-70.0,70.0,2744000.0,303.1541537090259,0.131806153786533,2.2761012098371163,0.017508470844900894,0.1622,0.04999999999999981,0.4004059405955713,8.008118811911457,0.007851096874422998,0.1552417726842497,0.4730189084335858,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.6445713911476594,0.8046199774879358,0.2526900103033957,0.6389310476163733,0.8167025127900026,0.8835821031636332,1.164777379858368,1.629419844001519,0.7183351594882122,0.6853970116090771,0.2816074702434098,0.5442587095932319,0.9101647045409061,0.7526590812601315,1.2980727292892684,1.3879837972975442
406,406,True,SchwarzGGyroid,SchwarzP,70,0.2,70,2,1,44058.0,-70.0,70.0,2744000.0,320.2351036758479,0.13923265377210778,1.8037655545165545,0.013875119650127343,0.19129999999999941,0.049999999999999815,0.34454422181770145,6.890884436354054,0.006755769055249073,0.17586724595468037,0.39901470852864546,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.5108101817942302,0.6376455465143777,0.21743654160473108,0.5497920442157069,0.9252098787919677,1.000975113665383,0.982546994292515,1.3744957601760293,0.5389025389254531,0.5141919963811977,0.22939461369852254,0.4433476723159389,0.9760924321605486,0.8071778981865662,1.036582841747478,1.1083818005250798
407,407,True,SchwarzGGyroid,SchwarzP,70,0.3,70,2,1,46188.0,-70.0,70.0,2744000.0,335.71698598620145,0.14596390695052236,1.4490752562592142,0.011146732740455493,0.21979999999999983,0.04999999999999994,0.35494014531893003,7.09880290637861,0.0069596106925280486,0.18272629442114954,0.3852235803564745,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.41036507944718964,0.512259689960383,0.22399724850316316,0.5663809047198723,0.9612942523536342,1.0400144286958215,0.948587264879441,1.3269891224618653,0.4129682873860055,0.3940322651968582,0.22541820619371972,0.4356625266928125,0.9673923561022185,0.7999833857864628,0.9546047600861977,1.0207255032221605
408,408,True,SchwarzGGyroid,SchwarzP,70,0.4,70,2,1,47426.0,-70.0,70.0,2744000.0,344.7153757985102,0.14987625034717836,1.4817968186143549,0.011398437066264267,0.22980000000000028,0.0499999999999999,0.2579430781595808,5.158861563191627,0.005057707414893751,0.18870264911536938,0.3952550174331815,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.4196315316052144,0.5238270238960507,0.16278389621513745,0.41160188809575216,0.9927349130192469,1.0740297581955107,0.9732890067889007,1.36154465997889,0.4112700463994849,0.3924118944245538,0.1595403002567327,0.3083412448923772,0.9729538964291237,0.8045824916537364,0.9538954650308881,1.0199670788118331
409,409,True,SchwarzGGyroid,SchwarzP,70,0.5,70,2,1,48137.0,-70.0,70.0,2744000.0,349.8832717246423,0.1521231616194097,1.4286583975643476,0.010989679981264213,0.21914999999999918,0.04999999999999988,0.2914313050698007,5.828626101396028,0.005714339315094146,0.1569000420105818,0.3360943004488403,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.4045832086960392,0.5050421671576014,0.1839177994494381,0.465039326787935,0.825426406509334,0.893020394634012,0.8276097037188449,1.1577522860992358,0.39066481341588793,0.37275148253475,0.17759069398195423,0.3432269813682147,0.7970302428684868,0.65910273969207,0.7991384306989556,0.8544907912942984
410,410,True,SchwarzGGyroid,SchwarzP,70,0.6,70,2,1,48808.0,-70.0,70.0,2744000.0,354.760428076871,0.15424366438124826,1.515591098788283,0.011658393067602177,0.27284999999999887,0.04999999999999981,0.1782706640918491,3.565413281836996,0.003495503217487251,0.2042135428226599,0.39552595561759407,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.42920176780139013,0.5357735721581611,0.11250386515034837,0.2844679626831979,1.0743352815755127,1.16231236310824,0.9739561739209479,1.36247796739284,0.40873888233847766,0.3899967929772814,0.10714006220401047,0.2070680580685268,1.023114616925738,0.8460628101235361,0.9275212448782901,0.9917660470728737
411,411,True,SchwarzGGyroid,SchwarzP,70,0.7,70,2,1,49445.0,-70.0,70.0,2744000.0,359.39045579128197,0.15625671990925302,1.509891991327676,0.011614553779443662,0.3073500000000014,0.05000000000000011,0.1544581444068563,3.0891628881371194,0.0030285910668010974,0.24911897381867018,0.3563055509099765,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.4275878318268794,0.5337588921005099,0.09747615143660873,0.24647012946901498,1.3105756806525872,1.4178984368618908,0.8773785542574885,1.2273744766423524,0.4019559108331516,0.38352484414090227,0.09163290514561653,0.17709759853928939,1.2320127052768308,1.0188107122020276,0.8247837512476958,0.8819124361644148
412,412,True,SchwarzGGyroid,SchwarzP,70,0.8,70,2,1,49670.0,-70.0,70.0,2744000.0,361.02586589448833,0.15696776778021232,1.507978013086018,0.011599830869892446,0.24175000000000027,0.05000000000000008,0.2318296474852991,4.636592949705975,0.0045456793624568375,0.17534086098541946,0.3158766455388334,0,0,0,3.531185592622282,2.8287903277559914,31.691473684679497,12.533619772879918,0.19008362317132577,0.17569592245973778,0.40610241631847527,0.2902989736960297,337.8466533650435,258.2348895409579,0.42704581040335055,0.5330822854878252,0.14630411308223346,0.36993247232045234,0.9224406503835504,0.9979791137475049,0.7778250826538183,1.0881080339938987,0.39962787021055235,0.3813035522208869,0.13691084115512972,0.2646056145883034,0.8632165063514757,0.7138353523902023,0.7278857996140956,0.7783028434011522
